Date,AGG,BNP.PA,EURUSD=X,EXSA.DE,F,GD=F,GM,GOOG,MA,MBG.DE,MCD,SNAP,SPY,TSLA,UBER,VOW3.DE
2015-12-31,92.14408111572266,,1.093398094177246,,10.446765899658203,312.29998779296875,28.29500961303711,37.944000244140625,93.30584716796875,,99.8230209350586,,180.57562255859375,16.000667572021484,,
2016-01-01,,,1.0859060287475586,,,,,,,,,,,,,
2016-01-02,,,,,,,,,,,,,,,,
2016-01-03,,32.69032669067383,,35.75,,,,,,50.609893798828125,,,,,,105.13275146484375
2016-01-04,92.10997009277344,32.86265563964844,1.0853991508483887,36.029998779296875,10.357793807983398,309.79998779296875,27.712642669677734,37.09199905395508,90.8620376586914,50.60301971435547,99.3498306274414,,178.05130004882812,14.894000053405762,,100.9740219116211
2016-01-05,92.15262603759766,32.230804443359375,1.0827549695968628,35.529998779296875,10.172435760498047,307.25,26.980512619018555,37.12900161743164,91.0345458984375,49.31784439086914,100.71864318847656,,178.3524169921875,14.895333290100098,,98.89464569091797
2016-01-06,92.5024185180664,31.52235984802246,1.0751993656158447,34.689998626708984,9.72016429901123,297.75,26.015443801879883,37.180999755859375,89.64213562011719,47.420997619628906,100.04270935058594,,176.1026611328125,14.602666854858398,,95.65083312988281
2016-01-07,92.49385833740234,30.635221481323242,1.0778998136520386,34.15999984741211,9.416177749633789,295.04998779296875,24.950525283813477,36.31949996948242,88.00009155273438,46.86432647705078,97.7275390625,,171.87767028808594,14.376667022705078,,95.73401641845703
2016-01-08,92.69865417480469,,1.0925976037979126,,9.297547340393066,295.0,24.567827224731445,35.7234992980957,86.31958770751953,,97.575439453125,,169.9910430908203,14.066666603088379,,
2016-01-09,,,,,,,,,,,,,,,,
2016-01-10,,30.571395874023438,,34.119998931884766,,,,,,46.823081970214844,,,,,,97.35592651367188
2016-01-11,92.43416595458984,31.238351821899414,1.0941038131713867,34.369998931884766,9.468077659606934,286.04998779296875,25.166833877563477,35.80149841308594,86.98216247558594,47.51721954345703,98.59783935546875,,170.1593475341797,13.856666564941406,,100.5997314453125
2016-01-12,92.6389389038086,31.180910110473633,1.0857999324798584,34.61000061035156,9.527392387390137,280.79998779296875,25.20843505859375,36.30350112915039,87.80801391601562,46.89868927001953,99.23153686523438,,171.5322723388672,13.998000144958496,,100.2254409790039
2016-01-13,92.8521728515625,30.057619094848633,1.0843987464904785,33.970001220703125,9.04546070098877,280.1000061035156,25.366506576538086,35.02799987792969,85.64739227294922,45.228641510009766,97.27124786376953,,167.254150390625,13.354000091552734,,96.48258209228516
2016-01-14,92.81810760498047,28.963045120239258,1.0886012315750122,33.040000915527344,9.038042068481445,282.5,25.20843505859375,35.736000061035156,87.10700225830078,44.348941802978516,98.53868103027344,,169.9998779296875,13.745332717895508,,93.07243347167969
2016-01-15,92.92898559570312,,1.085894227027893,,8.874932289123535,274.1499938964844,24.601099014282227,34.72249984741211,85.18643951416016,,97.32193756103516,,166.3506622314453,13.666000366210938,,
2016-01-16,,,,,,,,,,,,,,,,
2016-01-17,,28.29290199279785,,32.91999816894531,,,,,,44.61697769165039,,,,,,91.7832260131836
2016-01-18,,28.197168350219727,1.0920010805130005,33.40999984741211,,,,,,45.03620529174805,,,,,,91.57527923583984
2016-01-19,92.83516693115234,27.345125198364258,1.0895025730133057,32.33000183105469,8.860102653503418,277.54998779296875,24.459667205810547,35.089500427246094,82.79534149169922,43.854122161865234,99.28224182128906,,166.5720977783203,13.64799976348877,,87.00067138671875
2016-01-20,92.91189575195312,27.68977165222168,1.09129798412323,32.97999954223633,8.823031425476074,272.5,24.476308822631836,34.92250061035156,81.74861907958984,45.09806442260742,97.82894134521484,,164.43743896484375,13.24666690826416,,91.8248062133789
2016-01-21,92.78397369384766,28.369491577148438,1.0877013206481934,33.849998474121094,8.904590606689453,278.20001220703125,24.584463119506836,35.329498291015625,82.69932556152344,45.51729202270508,99.56952667236328,,165.35862731933594,13.33133316040039,,93.94575500488281
2016-01-22,92.8521728515625,,1.0862009525299072,,9.000975608825684,289.8500061035156,24.359832763671875,36.26250076293945,84.504638671875,,100.04270935058594,,168.75099182128906,13.50333309173584,,
2016-01-23,,,,,,,,,,,,,,,,
2016-01-24,,27.555740356445312,,33.720001220703125,,,,,,44.740684509277344,,,,,,92.11592864990234
2016-01-25,92.801025390625,28.111003875732422,1.079901933670044,34.02000045776367,8.882347106933594,282.95001220703125,24.3182373046875,35.583499908447266,83.32350158691406,44.73381042480469,100.71864318847656,,166.20010375976562,13.092000007629395,,93.40513610839844
2016-01-26,92.92044830322266,28.18440055847168,1.0853049755096436,34.150001525878906,9.089946746826172,288.5,24.66765785217285,35.652000427246094,83.54436492919922,45.31111526489258,101.7579574584961,,168.46759033203125,12.904000282287598,,93.03084564208984
2016-01-27,92.93750762939453,27.389801025390625,1.0864958763122559,33.4900016784668,9.082283020019531,292.6000061035156,24.30159568786621,34.9995002746582,81.44134521484375,43.90909957885742,102.1297607421875,,166.63406372070312,12.538000106811523,,90.36925506591797
2016-01-28,93.01427459716797,27.90676498413086,1.090798020362854,34.279998779296875,8.974981307983398,296.54998779296875,24.143524169921875,36.54800033569336,80.11615753173828,44.09466552734375,103.40563201904297,,167.50213623046875,12.646666526794434,,88.9136962890625
2016-01-29,93.2872543334961,,1.0936970710754395,,9.151262283325195,301.25,24.659339904785156,37.147499084472656,85.49372100830078,,104.58855438232422,,171.5853729248047,12.74666690826416,,
2016-01-30,,,,,,,,,,,,,,,,
